# Plane = x
# Current [A]     Beam Size [m]  
0.501155615     0.0009156110   
0.499437571     0.0009158964   
0.500298321     0.0009161722   
0.499665558     0.0009163106   
0.620745778     0.0008529896   
0.618876219     0.0008529980   
0.620723486     0.0008551585   
0.619015217     0.0008561742   
0.740139484     0.0007925292   
0.740640759     0.0007928127   
0.740445256     0.0007929175   
0.740085721     0.0007929175   
0.859241843     0.0007526148   
0.858941436     0.0007526148   
0.859154761     0.0007526716   
0.860873878     0.0007528450   
0.980479240     0.0007361209   
0.980894983     0.0007363539   
0.980140567     0.0007366198   
0.980114579     0.0007367422   
1.100664973     0.0007455231   
1.098954439     0.0007458474   
1.100871205     0.0007458932   
1.099572659     0.0007462080   
1.221098304     0.0007790246   
1.220779777     0.0007791168   
1.221103430     0.0007793387   
1.219564795     0.0007800228   
1.340933561     0.0008253414   
1.339549303     0.0008256275   
1.340756774     0.0008273787   
1.340679765     0.0008284094   
1.461074471     0.0008882283   
1.459603429     0.0008885727   
1.459602714     0.0008885793   
1.459672093     0.0008896384   
1.578938603     0.0009574208   
1.579759240     0.0009584198   
1.579021811     0.0009603440   
1.580112815     0.0009606288   
1.699908018     0.0010282607   
1.698842406     0.0010293129   
1.698929310     0.0010297577   
1.700836182     0.0010306321   
